,gs2046,gs2081
333,21.9776723277,32.8462437562
334,23.3052847153,34.5724275724
335,22.197972028,32.9594005994
336,22.3721478521,33.3307192807
337,22.3721478521,33.3307192807
338,21.1481918082,32.4681918082
339,22.116993007,33.3055644356
340,22.0125174825,33.1582317682
341,21.139020979,31.9261638362
342,20.4253846154,31.1010989011
343,21.4095904096,32.651018981
344,20.6883616384,31.4297902098
345,21.4956043956,32.847032967
346,21.1753146853,32.5238861139
347,21.8423776224,33.1938061938
348,21.1637762238,32.7966333666
349,21.3311388611,32.5311388611
350,23.818031968,35.4637462537
351,21.206973027,32.7412587413
352,21.2647652348,32.4261938062
353,20.8919480519,31.5590909091
354,21.3747752248,32.0576323676
355,21.6105794206,32.3777222777
356,24.1720879121,35.9020879121
357,21.5754645355,32.2383216783
358,21.5754645355,32.2383216783
359,21.9838661339,33.2152947053
360,22.9783616384,34.1226473526
361,21.1637762238,32.7966333666
362,20.8611588412,31.8011588412
363,24.1868831169,36.0054545455
364,23.1692807193,34.2021378621
365,21.2945654346,32.8631368631
366,21.1637762238,32.7966333666
367,20.7547152847,31.2647152847
368,23.6829370629,35.4886513487
369,23.3654145854,35.0125574426
370,20.341978022,31.9205494505
371,21.1637762238,32.7966333666
372,20.4557442557,31.0657442557
373,20.784985015,31.3978421578
374,21.3673426573,32.8230569431
375,21.1094305694,31.848001998
376,21.4022177822,32.8679320679
377,21.199010989,31.8318681319
378,21.1382517483,31.8568231768
379,21.9795804196,33.2524375624
380,21.1637762238,32.7966333666
381,21.9193706294,33.6307992008
382,21.0197602398,32.8011888112
383,21.277982018,32.5422677323
384,20.7319480519,32.3448051948
385,21.1125274725,31.7425274725
386,21.0393406593,31.7579120879
387,21.0748451548,31.6105594406
388,21.2973526474,32.6344955045
389,22.1262637363,33.7005494505
390,23.4517782218,35.1317782218
391,21.5358641359,32.903006993
392,23.7127272727,35.2612987013
393,21.2777922078,32.5392207792
394,21.2418981019,32.5261838162
395,20.9319280719,32.8362137862
396,24.7023676324,36.5937962038
397,21.477042957,32.2256143856
398,22.1053446553,32.8096303696
399,20.9319280719,32.8962137862
400,22.0557742258,33.0429170829
401,22.6927872128,34.3999300699
402,20.7924175824,32.420989011
403,22.0903896104,33.4561038961
404,23.4415584416,35.1015584416
405,21.6391908092,32.8506193806
406,21.5578021978,32.8720879121
407,21.4077222777,32.402007992
408,24.8249450549,36.8006593407
409,23.7028871129,35.1943156843
410,21.5578021978,32.8720879121
411,21.5578021978,32.8720879121
412,24.8027172827,36.5812887113
413,21.3248551449,32.3448551449
414,21.5110789211,32.8325074925
415,21.7992407592,32.8706693307
416,22.7136963037,34.0751248751
417,23.5019080919,35.2647652348
418,21.7992407592,32.8706693307
419,22.6636863137,34.1594005994
420,22.6898401598,34.2541258741
421,22.6898401598,34.2226973027
422,21.127982018,33.1851248751
423,20.8755344655,32.816963037
424,24.0261938062,35.8161938062
425,22.6034365634,34.1362937063
426,23.8443456543,35.7386313686
427,21.3024375624,33.0167232767
428,21.7992407592,32.8706693307
429,22.5412587413,33.8284015984
430,20.8755344655,32.816963037
431,21.3552947053,33.071008991
432,21.2112387612,32.4855244755
433,21.3112887113,32.1041458541
434,22.6889210789,34.3260639361
435,20.8314085914,32.7842657343
